,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9649122807017544,0.996031746031746,0.975,0.9285714285714286,0.9512195121951219,0.9245181185940877
Decision Tree,0.9298245614035088,0.9246031746031745,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8492063492063492
KNN,0.956140350877193,0.982308201058201,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9058238738943076
Naive Bayes,0.9210526315789473,0.9890873015873015,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.8291617197562593
Random Forest,0.9649122807017544,0.9938822751322751,1.0,0.9047619047619048,0.95,0.9258200997725514
XGBoost,0.9736842105263158,0.9940476190476191,1.0,0.9285714285714286,0.9629629629629629,0.9441549509633318
